Carimbo de data/hora,ID do Participante,Anos de Experiência em Tech,"Familiaridade com plataformas similares (Exemplos: Dev.to, Stack Overflow, Medium, GitHub Discussions)",Área de Atuação,Qualidade Pragmática — Usabilidade percebida [obstrutivo / solidário],Qualidade Pragmática — Usabilidade percebida [complicado / fácil],Qualidade Pragmática — Usabilidade percebida [ineficiente / eficiente],Qualidade Pragmática — Usabilidade percebida [confuso / claro],Qualidade Hedônica — Experiência emocional percebida [entediante / empolgante],Qualidade Hedônica — Experiência emocional percebida [sem interesse / interessante],Qualidade Hedônica — Experiência emocional percebida [convencional / inventivo],Qualidade Hedônica — Experiência emocional percebida [comum / inovador],"1. Houve algum momento em que você ficou confuso ou frustrado ao usar a plataforma? Se sim, descreva o que aconteceu.",2. Alguma funcionalidade não se comportou como você esperava? Qual?,3. O que você mudaria na plataforma para melhorar sua experiência?
27/02/2026 15:50:39,P01,1 ano,"Dev.to, Medium e daily.dev",Desenvolvimento,+1,+2,+1,+3,+3,+3,+2,+1,"os botões devem aparecer clicaveis, e ter uma resposta imediata para o usuario, mais opções na hora de cadastrar a minha stack, ","todas se comportaram como o esperado, exceto por pequenos bugs","até o momento ta ótima, mas colocaria mais funcionalidades para um futuro blog como editar a minha postagem, seguir a pessoa e assuntos do momento, pegaria mais exemplos de ideias parecidas com essa e faria mais funcionalidades, mas por enquanto ta atendendo o principio da ideia."
27/02/2026 17:35:50,P03,1 ano,nível intermediário,Desenvolvimento,+1,+3,+3,+3,+2,+2,+2,+3,"Apos completar meu perfil e confirmar no botão, em nenhum lugar eu notei um sinal de carrgamento. Fiquei com a impressão que nada estava acontecendo. Depois de uns 5 a 10 segundos, a tela mudou e fui direcionado para a home do devshare","Nenhuma, tudo conforme e até acima das minhas expectativas","na aba de salvos, o site da a listas de itens salvos em cima e dps mostra os demais artigos, uma mudança seria, literalmente, deixar apenas os salvos, sem os outros posts"
27/02/2026 18:15:05,P04,3,baixa,Design,-2,+1,-2,+2,-1,-1,-2,+1,"Sim. Os botões não funcionam, demoram a responder, na hora de publicá-lo não reencaminha para o feed, o fluxo de salvar aparece posts que não salvei, os botões de like simplesmente ficam dando spam nao param parece mais uma reacao do que um like","De postar, salvar, e curtir","Os botões funcionarem, e a adição de imagem e maior personalização da conta, com icons, tudo parece muito flat, um blog antigo com retoque visual da internet"
27/02/2026 18:36:44,P09,8,Familiaridade média ,Desenvolvimento,+2,+3,+3,+2,+2,+2,+1,+1,Como estava mocado então na seção de dicas salvas veio dicas que eu não salvei. Outra questão foi a tela de atualizar perfil ainda não está funcionando.,Ao criar uma dica poderíamos ser redirecionados ao feed. Uma dica poderia ser editável.,Os usuários poderia usar imagens em suas dicas. Uma dica poderia ter fazer referência a outra e isso ter um design destacado.
27/02/2026 18:45:09,P05,4 ANOS,NÃO POSSUO,Desenvolvimento,+1,+2,0,+3,0,+1,0,0,"Não houve momentos de frustração em relação ao uso da plataforma em si, pois ela é simples e direta ao ponto em sua usabilidade, o que considero algo positivo. Entretanto, sinto que ela poderia oferecer um pouco mais neste primeiro teste, como mais áreas principais e mais ferramentas.",Nenhuma. A plataforma funcionou 100%.,"Iria acrescentar principalmente novas ferramentas favoritas e tags neste primeiro teste, para que meu usuário entende que há possibilidade de criar networking com qualquer área da tecnologia. Algo que considero interessante é apresentar assuntos ou postagens altamente engajadas, mesmo que não-diretamente pela plataforma, mas baseando-se em um algoritmo de busca ou de consumo do usuário. Além disso, considero interessante também o usuário buscar por postagens e usuários, para seguir e favoritar postagens de seu interesse, ao invés de terem o trabalho de procurar na página principal ou na aba ""Salvos"", caso esteja muito lotada. No geral, a ideia da plataforma é interessante, porém acho que precisa ter o potencial melhor explorado para tornar a ideia consolidável, fora do convencional e inovadora."
27/02/2026 20:41:25,P06,3,"Stackoverflow github, medium",Desenvolvimento,+1,+2,+1,0,+2,0,0,0,falta de filtro,cadastro. falta feedback,adicionar filtro de busca e feedback de ação
27/02/2026 23:56:05,P08,4,"Eu costumava consultar essas plataformas com frequência, mas com o advento dos chats com IA eu quase não uso mais essas plataformas",Desenvolvimento,0,+2,+1,+2,0,+1,+1,+1,"Fiquei confuso em relação as categorias disponíveis, o usuário não conseguiu adicionar uma nova categoria. Ao efetuar meu cadastro e criar uma nova dica, eu pensei que tinha travado a aplicação pois demorou e não mostrou algo diferente na tela","Ao criar uma dica, deveria redirecionar pra listagem das dicas",Adicionar estado de loading nos botões de ação 
01/03/2026 19:31:09,P02,5 anos,"UI, UX, Figma, Interfaces, Front-end, React.JS",Design,+2,+3,+2,+3,+3,+3,0,+1,"Alguns pequenos momentos de confusão por conta de ausência de feedback imediato ao usuário, não consegui ver de imediato aonde estava minha publicação, por exemplo.","Na hora de selecionar as tags da publicação, não senti muita positividade em relação ao feedback visual, ficou muito vago.","Focaria nos feedbacks de cada ação do usuário, se ele fez um post, o post pode aparecer de imediato para ele já com um alert de “Post criado!”, por exemplo."
01/03/2026 20:02:29,P07,7,Medium,Desenvolvimento,0,+1,+2,+2,0,+1,-1,-3,A ausência de feedback ao clicar em salvar e a falta de uma opção para buscar o meu artigo,"Sim. Ao clicar em “Salvar”, fiquei esperando um retorno. Como não houve, cliquei várias vezes, entendendo que não havia funcionado anteriormente.",Adicionaria um “loading” e desabilitaria o botão para que o usuário não clicasse mais de uma vez. Também incluiria um campo de busca para filtrar os artigos criados.
01/03/2026 23:59:00,P10,2 anos,"Dev.to, GitHub Discussions",Desenvolvimento,+1,+2,+1,+2,+1,+1,+1,+1,[SINTETICO] Nenhum momento de confusao identificado.,[SINTETICO] Todas as funcionalidades se comportaram conforme esperado.,[SINTETICO] Adicionaria feedback visual mais imediato nas acoes principais.
