participant_id,flow,flow_duration_s,n_transitions,mean_transition_ms,long_pauses_count_10s
P01,explorar-salvar,223.997,10,22399.7,5
P01,criar-perfil,75.165,62,1212.339,1
P01,postar-dica,93.857,176,533.278,1
P01,comentar-reagir,0.001,1,0.6,0
P02,explorar-salvar,321.097,12,26758.092,5
P02,criar-perfil,321.665,75,4288.863,1
P02,postar-dica,164.042,152,1079.223,2
P02,comentar-reagir,66.331,9,7370.1,4
P03,explorar-salvar,386.434,22,17565.164,8
P03,criar-perfil,258.045,149,1731.844,1
P03,comentar-reagir,208.721,10,20872.1,6
P04,explorar-salvar,725.104,50,14502.088,6
P04,criar-perfil,725.644,156,4651.567,5
P04,comentar-reagir,605.412,17,35612.494,4
P04,postar-dica,473.168,1009,468.947,5
P05,explorar-salvar,746.82,59,12657.971,20
P05,criar-perfil,738.847,288,2565.442,10
P05,comentar-reagir,408.814,24,17033.929,11
P05,postar-dica,314.641,7,44948.743,3
P06,explorar-salvar,211.622,7,30231.7,2
P06,criar-perfil,88.896,174,510.899,0
P06,postar-dica,96.284,71,1356.111,2
P06,comentar-reagir,15.709,3,5236.2,1
P07,explorar-salvar,176.187,6,29364.45,3
P07,criar-perfil,61.146,54,1132.326,1
P07,postar-dica,72.488,37,1959.127,1
P07,comentar-reagir,52.11,5,10421.98,2
P08,explorar-salvar,263.401,12,21950.1,5
P08,criar-perfil,67.553,83,813.894,0
P08,postar-dica,95.061,117,812.487,2
P08,comentar-reagir,68.351,10,6835.11,3
P09,explorar-salvar,128.375,6,21395.783,2
P09,criar-perfil,119.102,59,2018.675,3
P09,postar-dica,118.137,111,1064.297,3
P10,explorar-salvar,195.0,8,24375.0,6
P10,criar-perfil,82.0,11,4100.0,1
P10,postar-dica,98.0,12,6083.333,1
P10,comentar-reagir,38.0,6,6333.333,0
