participant_id,flow,total_events,evt_unknown
P01,explorar-salvar,189,189
P01,criar-perfil,62,62
P01,postar-dica,0,0
P01,comentar-reagir,0,0
P01,_unassigned,2,2
P02,explorar-salvar,175,175
P02,criar-perfil,75,75
P02,postar-dica,0,0
P02,comentar-reagir,0,0
P02,_unassigned,2,2
P03,explorar-salvar,35,35
P03,criar-perfil,147,147
P03,comentar-reagir,0,0
P03,_unassigned,2,2
P04,explorar-salvar,1093,1093
P04,criar-perfil,141,141
P04,comentar-reagir,0,0
P04,postar-dica,0,0
P04,_unassigned,2,2
P05,explorar-salvar,100,100
P05,criar-perfil,280,280
P05,comentar-reagir,0,0
P05,postar-dica,0,0
P05,_unassigned,2,2
P06,explorar-salvar,79,79
P06,criar-perfil,174,174
P06,postar-dica,0,0
P06,comentar-reagir,3,3
P06,_unassigned,3,3
P07,explorar-salvar,46,46
P07,criar-perfil,54,54
P07,postar-dica,0,0
P07,comentar-reagir,4,4
P07,_unassigned,2,2
P08,explorar-salvar,141,141
P08,criar-perfil,83,83
P08,postar-dica,0,0
P08,comentar-reagir,0,0
P08,_unassigned,2,2
P09,explorar-salvar,11,11
P09,criar-perfil,54,54
P09,postar-dica,111,111
P09,_unassigned,3,3
P10,explorar-salvar,15,15
P10,criar-perfil,3,3
P10,postar-dica,0,0
P10,comentar-reagir,0,0
